UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3396223,02/28/2016,7:46,QUEENS,11423.0,40.71081829999999,-73.7706571,"(40.7108183, -73.7706571)",188 STREET,JAMAICA AVENUE,,3,0,0,0,0,0,3,0,Other Vehicular,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396243,02/28/2016,7:50,QUEENS,11004.0,40.738511700000004,-73.70283640000001,"(40.7385117, -73.7028364)",HILLSIDE AVENUE,266 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3395826,02/28/2016,8:16,MANHATTAN,10002.0,40.7169722,-73.98994990000001,"(40.7169722, -73.9899499)",LUDLOW STREET,GRAND STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396346,02/28/2016,8:45,,,40.6801176,-73.7532369,"(40.6801176, -73.7532369)",,,(LOT) 134-34 SPRINGFIELD BLVD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396034,02/28/2016,8:45,BROOKLYN,11214.0,40.60443660000001,-73.99484659999999,"(40.6044366, -73.9948466)",84 STREET,21 AVENUE,,4,0,0,0,0,0,4,0,Physical Disability,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3396340,02/28/2016,9:00,QUEENS,11412.0,40.7025153,-73.7508277,"(40.7025153, -73.7508277)",113 AVENUE,205 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396337,02/28/2016,9:00,QUEENS,11412.0,40.6991414,-73.74930400000001,"(40.6991414, -73.749304)",115 AVENUE,205 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396967,02/28/2016,9:00,,,,,,ASTORIA BOULEVARD,31 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3395940,02/28/2016,9:02,BRONX,10454.0,40.804871899999995,-73.91499559999998,"(40.8048719, -73.9149956)",EAST 137 STREET,CYPRESS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396221,02/28/2016,9:10,QUEENS,11432.0,40.7057624,-73.80165670000001,"(40.7057624, -73.8016567)",PARSONS BOULEVARD,89 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396158,02/28/2016,9:14,BROOKLYN,11217.0,40.6830499,-73.9737625,"(40.6830499, -73.9737625)",ATLANTIC AVENUE,SOUTH PORTLAND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
3396324,02/28/2016,9:25,,,40.7371196,-73.84516509999999,"(40.7371196, -73.8451651)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,TAXI,PASSENGER VEHICLE,,,
3399080,02/28/2016,9:25,,,40.7414516,-73.84602029999999,"(40.7414516, -73.8460203)",,,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,TAXI,PASSENGER VEHICLE,,,
3396515,02/28/2016,9:30,BRONX,10473.0,40.8213835,-73.86297940000001,"(40.8213835, -73.8629794)",LAFAYETTE AVENUE,TAYLOR AVENUE,,0,0,0,0,0,0,0,0,,,,,,PASSENGER VEHICLE,BICYCLE,,,
3396133,02/28/2016,9:30,BROOKLYN,11208.0,40.6816746,-73.8791269,"(40.6816746, -73.8791269)",FULTON STREET,NORWOOD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396903,02/28/2016,9:30,,,,,,HORACE HARDING EXPRESSWAY,LITTLE NECK PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,BUS,,,
3396205,02/28/2016,9:33,BROOKLYN,11206.0,40.707010499999996,-73.9465215,"(40.7070105, -73.9465215)",LEONARD STREET,MONTROSE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,PASSENGER VEHICLE,UNKNOWN,,,
3396325,02/28/2016,9:35,QUEENS,11375.0,40.7299972,-73.8414683,"(40.7299972, -73.8414683)",GRND CNTRL PARKWAY SR SOUTH,67 ROAD,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3396968,02/28/2016,9:48,QUEENS,11105.0,40.775315500000005,-73.90305359999999,"(40.7753155, -73.9030536)",20 ROAD,STEINWAY STREET,,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3395910,02/28/2016,9:50,MANHATTAN,10031.0,40.8326963,-73.9497125,"(40.8326963, -73.9497125)",WEST 153 STREET,RIVERSIDE DRIVE,,0,0,0,0,0,0,0,0,Unspecified,,,,,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
3396844,02/28/2016,9:50,QUEENS,11101.0,40.742488,-73.9566697,"(40.742488, -73.9566697)",5 STREET,51 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
